,,,,,,,Generator ,,,,Generator,,,,Mains Power Cabinet,,,,,Additional Power cabinet,,,,,Batteries,,,,Aircon 1,,,Aircon 2,,,SOLAR,,,,Environnement Statut,,,,SHELTER,,,,,,,,,,,
Site ID IHS,ID Operator,Name site,Topology,Indoor/Outdoor,SBC,# nber of Gen,Brand,Engine brand,Alternator brand,Capacity (KVA),Brand,Engine brand,Alternator brand,Capacity (KVA),Brand,Capacity (KW),Rectifier Module  type,Module Size (KW),Rectifier Number,Brand,Capacity (KW),Rectifier Module  type,Module Size (KW),Rectifier Number,Brand,Capacity (V/AH),Battery type,Battery Number,Brand,Capacity (V/W),Statut (OK/NOK),Brand,Capacity (V/W),Statut (OK/NOK),#Nber of pannel,Brand,Capacity,Working (OK/NOK),Leakage  OK/NOK,Abandonned equipment on site YES/NO,Site cleaning OK/NOK,Light Statut OK/NOK,Shelter statut,Comments if we have issues on site,Timeline to closed those issues,"Overall site statut 
SBC Feedback",Final Site statut SS  OK/NOK,DATE,,j,j,j,j,j
IHS_DLA_272,LIT_246,Kotto-Bloc,Grid-Gen,Outdoor,GRATO,1,JET GENERATOR,,,30,,,,,,IPT 24 KW,DELTA,,6,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 10:30:00,,,,,,
IHS_BNB_022,LIT_377,Ngwelle-II,Grid-Gen,Outdoor,GRATO,1,GB POWER,,,33,,,,,,IPT 12KW,DELTA,,4,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 13:00:00,,,,,,
IHS_DLA_228,LIT_357,Makepe-AES,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT - 12KW,DELTA,,4,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 11:00:00,,,,,,
IHS_BNB_009,LIT_290,Bonabappe,Grid-Gen-Lithium,Outdoor,GRATO,1,SACCAL,,,30,,,,,,IPT 12 KW,DELTA,,4,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 22:58:00,,,,,,
IHS_DLA_190,LIT_373,Missoke-Universite,Grid-Gen,Outdoor,GRATO,1,SDMO,,,45,,,,,,HUAWEI 24KW,HUAWEI R4850G,,6,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,8,,,,,,,,,,,,,,,,,,,,01/26/2026 12:00:00,,,,,,
IHS_DLA_255,LIT_247,Bsadi-BlocJ,Grid-Gen,Outdoor,GRATO,1,TECHNO-GEN,,,20,,,,,,IPT 12KW,DELTA,,5,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 09:30:00,,,,,,
IHS_DLA_127,LIT_263,CCC,Grid-Gen-Lithium,Outdoor,GRATO,1,MAHINDRA,,,30,,,,,,IPT 12 KW,DELTA,,5,,,,,,,SHL 12V/180AH,SHL 12V/180AH,16,,,,,,,,,,,,,,,,;8/16 BATTERIES BACKUP FAULTY ET DECONNECTE/CLIM FAULTY/2 EXTRACTEURS FAULTY;,,,,01/27/2026 07:00:00,,,,,,
IHS_DLA_199,LIT_342,Logbaba-SONEL,Grid-Gen-Lithium,Outdoor,GRATO,1,COLOR CERAMICA,,,20,,,,,,HUAWEI 24 KW,HUAWEI,,6,,,,,,,0,0,6,,,,,,,,,,,,,,,,,,,,01/29/2026 08:00:00,,,,,,
IHS_EDA_032,LIT_108,Ngwei,Solar-Grid-Gen,Indoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,;LA CLIM FAULTY/ 3 EXTRACTEURS FAULTY/ PAS DE PARAFOUDRE;,,,,01/30/2026 11:00:00,,,,,,
IHS_YND_701,LIT_514,NKAN,Gen-Lithium,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 14:00:00,,,,,,
